subject_type,subject_name,predicate,object_type,object_name,reason,evidence,confidence,source,subject_wikidata,object_wikidata
person,Franz Anton Karl Wittekind,founded,company,Frankfurter Maschinenbau,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107864538,http://www.wikidata.org/entity/Q59182422
person,Christian Adalbert Kupferberg,founded,company,Kupferberg,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q1078701,http://www.wikidata.org/entity/Q1792811
person,Christian Adalbert Kupferberg,founded,company,Kupferberg,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q1078701,http://www.wikidata.org/entity/Q1792811
person,Christian Adalbert Kupferberg,founded,company,Kupferberg,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q1078701,http://www.wikidata.org/entity/Q1792811
person,Christian Adalbert Kupferberg,founded,company,Kupferberg,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q1078701,http://www.wikidata.org/entity/Q1792811
person,Hermann Renner,founded,company,Gerb- und Farbstoffwerke H. Renner & Co.,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107972810,http://www.wikidata.org/entity/Q107039833
person,Hermann Renner,founded,company,Gerb- und Farbstoffwerke H. Renner & Co.,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107972810,http://www.wikidata.org/entity/Q107039833
person,Julius Klausner,founded,company,Leiser Handelsgesellschaft,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107981839,http://www.wikidata.org/entity/Q1815747
person,Hermann Leiser,founded,company,Leiser Handelsgesellschaft,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107981889,http://www.wikidata.org/entity/Q1815747
person,Jean Gillequin,founded,company,La Renaissance du livre,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q108059185,http://www.wikidata.org/entity/Q3212232
